"time_posttest","grade_posttest","gender","age","academic_level","academic_field","parents_education","sport","time_pretest","grade_pretest","comfort_before","comfort_after","comfort_explanation","confidence","perceived_learning","learning_explanation","comments","correct","algorithmic","graph_used","group","academic_level_compressed","science","CS"
471,9,"Female","18-22 years old","Master","Computer Science","University","Gym 2-3 times a week",259,7,4,5,"I felt unsure during the pre-test because, while I have seen Dijkstra before, I forgot how the algorithm worked and could not answer the questions that required an understanding of the exact steps before watching the video (e.g. which node is processed when). It was easy to answer the questions where you just have to find the shortest path because it doesn't require an understanding of Dijkstra in particular.","Somewhat Confident","Definitely","I learn best by following examples which the instruction provided.","-",1,1,1,"psi",1,1,1
354,9,"Male","18-22 years old","Master","Computer Science (and Math for bachelor)","High school","Ultimate frisbee and Bouldering, about once a week in total",353,7,NA,NA,NA,NA,NA,NA,NA,1,2,0,"psi",1,1,1
307,9,"Male","More than 25 years old","Master","Applied Mathematics","University","Yes. Running twice a week",227,5.5,3,5,"in the lesson i learned about the detailed steps of the algorithm","Somewhat Confident","Definitely","the video was clear","-",1,1,1,"psi",1,1,0
388,6.1,"Female","More than 25 years old","Bachelor","Environmental Laws and International Relations","High school","Long Walks- twice a week",601,1.2,3,4,"The video explanation being in parts would have made understanding the new concept easier.","Not Very Confident","Definitely","The different methods to solve one problem is efficient in understanding a new concept.","Great Work! I would like to see the same conducted on a hybrid system where some tests are done to asses knowledge level before access to the content and then tests after the content.",1,0,0,"psi",0,0,0
534,5.5,"Male","23-25 years old","Bachelor","Computer Science","University","Yes. I normally do morning runs every Saturday of the week.",602,4.5,2,4,"This is because I gathered more insights on the Dijkstra's algorithm through the video explanation.","Confident","Not so sure","This was a new topic unrelated to sorting lists I had done before","Good challenge for sure.",1,1,0,"psi",0,1,1
369,6.5,"Female","More than 25 years old","Bachelor","Environmental Science","University","Walks, at least twice a week",487,4.2,3,5,"Before the activity, i had no idea what Dijkstra's algorithm was and how to use it, but for the post test it was a bit more clearer","Somewhat Confident","Kind of","Since the topic is new to me, i learnt some things, but there was no way to clarify my confusion","-",1,1,0,"psi",0,1,0
431,6.5,"Female","More than 25 years old","Got my MSc, currently PhD student","Life Sciences Engineering","Primary school","Bouldering/lead climbing, twice a week",574,4,2,3,"I still didn't get the question I got wrong with the node F","Not Very Confident","Not so sure","I would have preferred to get the correct answers on the pre-test questionnaire, and get other questions in the post-test part to efficiently learn from this lesson.","-",1,2,0,"psi",2,1,0
186,5.7,"Female","18-22 years old","Master","Economics","University","-",272,4.5,2,4,"Solving the activity made me understand the goal behind the lesson itself so I gained confidence in myself","Somewhat Confident","Definitely","I liked how the lesson was structured as the activity grabbed my attention and made me more focused in the lesson. The overall experience made me gain more knowledge.","-",0,0,1,"psi",1,0,0
344,5.6,"Female","18-22 years old","Bachelor","SIE","University","kendo once, kickworkout once, zumba once, muscu twice",312,4,5,5,"-","Confident","Kind of","-","-",1,0,0,"psi",0,1,0
596,7.4,"Male","23-25 years old","master","physics","High school","yes, bike (14km, 5 times per week ) + workout at home sometimes (1-2 per week)",542,3,4,3,"confused mind: i tried to go to the video again, but it would have take too much time to write the matrice and do the calculations, so i finally decided to not try to use the algorithm","Not Very Confident","Kind of","i know now that i could implement this algorithm on my computer to solve things, but i did not used the matrice for the problems and i probably never will","-",1,0,1,"psi",1,1,0
263,9,"Female","More than 25 years old","PhD","Computer Engineering","University","Swimming, once a week",236,8,5,5,"I am familiar with Dijkstra's algorithm but the explanation was really good","Confident","Definitely","The example was very clear and realistic.","Great job!",1,2,0,"psi",2,1,1
397,8,"Female","More than 25 years old","Master","Software Engineering","University","Nooo",171,1.8,1,4,"I didnt know the rules to find the shortest path and I just put blank answers before. Then, I followed the algorithm and was more comfortable with my answers.","Not Confident at All","Definitely","Yes, the algorithm was very well explained. I followed the directions and used it later to do the exercise in a similar way. The voice was very clear and the slides (and images) were easy to follow.","It took me some time to draw the graph and table due to the city names im not used to. It was harder for me to keep track of them than just easier ones. But overall made me concentrate harder.",1,2,1,"ips",1,1,1
726,5.9,"Male","18-22 years old","Bachelor","Medical Biotechnology","University","Gym 3-4 times a week",829,4,2,4,"Simply because i don't know how Dijkstra's algorithm works !","Somewhat Confident","Kind of","The video provided an explanation of what Dijkstra's algorithm is and how it works","-",1,2,0,"ips",0,1,0
515,8,"Female","23-25 years old","Master","Neuro-X","University","yes, pilates once a week",234,4,1,3,"I didn't know anything before, so I just answered intuitively. Afterwards, I got confused by some phrasing in the questions ""after visiting node G ..."" the one I failed, I was not sure if that meant we were still on node A or if we were already on node G and had to investigate edges","Confident","Kind of","I had the impression that the activity didn't allow me to apply the newly learned algorithm, as in 20 minutes I just had the time to draw the graph and start excluding the clear not possible routes (to avoid having a super big matrix i wouldn't be able to look at in the given time)","-",1,2,1,"ips",1,1,0
408,9,"Female","18-22 years old","Bachelor","Mathematics","University","No",947,5.5,2,4,"I didn't know what we meant by tentative distance and how the algorithm proceeded","Not Very Confident","Kind of","It seems to me that the algorithm finds the best path because it goes through all of them, i would have liked to see if it actually is an optimal algorithm for this problem.","-",1,2,0,"ips",0,1,0
133,6.4,"Female","More than 25 years old","Doctorate","Medicine","University","Gyming 4 times a week",733,4.6,1,4,"The lesson helped me better understand how the algorithm works and how to think about problems effectively.","Not Very Confident","Definitely","Yes, the activities really gave me the chance to apply the information from the videos. The video was very detailed but not confusing for someone without a computer science background.","-",0,0,0,"ips",2,1,0
140,7,"Male","18-22 years old","Bachelor","Mechanical engineering","University","Fitness 4x a week, random sport weekly",299,4.6,2,4,"I learned by doing and watching the video","Somewhat Confident","Definitely","I wanted to learn, i didnt feel as if i had to. makes it a lot more enjoyable","-",1,2,1,"ips",0,1,0
234,5.5,"Male","23-25 years old","Master","Engineering and Entrepreneurship","University","Workout 4 times a week",335,6.6,4,1,"The only reason I changed my answer the second time around is because I wasn't paying enough attention the first time, so I sort of warmed up my brain by that point. For the questions I got wrong it was more because I didn't know what certain words meant like ""tentative""","Confident","Not so sure","I think the lesson was at such a high level, that I was thrown off when I first saw it. I also feel like the ""official"" method is slower in practice than just counting it. So I just counted it because it was easier.","This is very tricky. I don't think my results are really very indicative of learning anything because I completely ignored what I learned. I think you should pick a more complicated question that means that you have no other choice than to implement what you learn. But also, I'm not sure who this experiment is targeted to, but even as an engineering student I really had to pay attention to the lesson otherwise I wouldn't have any idea what was going on. Either make the lesson simpler to match the question, or make the questions more complicated to match the lesson. Also, I could have probably answered more questions correctly if you explained terminology more clearly. (Like I still don't know what ""tentative"" means after this experiment)",1,1,1,"ips",1,1,0
350,8,"Female","23-25 years old","Master","Cybersecurity","University","No",613,6.5,2,5,"I was answering with common sense, but after the activity, I was more confident in my knowledge.","Very Confident","Definitely","In the lesson, I liked the Example of how to approach and solve finding shortest path problem and I was trying to formulate the technique but then at the end of the video, the technique was mentioned confirming my observation throughout the video. The lesson is generally made me very confident.","No thanks!",1,1,1,"ips",1,1,0
