"time_posttest","grade_posttest","gender","age","academic_level","academic_field","parents_education","sport","Sports","grouped_academic_field","time_pretest","grade_pretest","comfort_before","comfort_after","comfort_explanation","confidence","perceived_learning","learning_explanation","comments","group","academic_level_compressed","science","CS","correct","algorithmic","graph_used"
471,9,"Female","18-22 years old","Master","Computer Science","University","Gym 2-3 times a week","2+ times a week","CS and Math",259,8,4,5,"I felt unsure during the pre-test because, while I have seen Dijkstra before, I forgot how the algorithm worked and could not answer the questions that required an understanding of the exact steps before watching the video (e.g. which node is processed when). It was easy to answer the questions where you just have to find the shortest path because it doesn't require an understanding of Dijkstra in particular.","Somewhat Confident","Definitely","I learn best by following examples which the instruction provided.","-","PSI",1,1,1,1,1,1
354,9,"Male","18-22 years old","Master","Computer Science","High school","Ultimate frisbee and Bouldering, about once a week in total","1ce a week","CS and Math",353,8,NA,NA,NA,NA,NA,NA,NA,"PSI",1,1,1,1,1,0
307,9,"Male","More than 25 years old","Master","Mathematics","University","Yes. Running twice a week","2+ times a week","CS and Math",227,6.5,3,5,"in the lesson i learned about the detailed steps of the algorithm","Somewhat Confident","Definitely","the video was clear","-","PSI",1,1,0,1,1,1
388,5.5,"Female","More than 25 years old","Bachelor","Environmental Laws and International Relations","High school","Long Walks- twice a week","2+ times a week","Non-Engineering Field",601,1,3,4,"The video explanation being in parts would have made understanding the new concept easier.","Not Very Confident","Definitely","The different methods to solve one problem is efficient in understanding a new concept.","Great Work! I would like to see the same conducted on a hybrid system where some tests are done to asses knowledge level before access to the content and then tests after the content.","PSI",0,0,0,1,0,0
534,5.5,"Male","23-25 years old","Bachelor","Computer Science","University","Yes. I normally do morning runs every Saturday of the week.","1ce a week","CS and Math",602,4.5,2,4,"This is because I gathered more insights on the Dijkstra's algorithm through the video explanation.","Confident","Not so sure","This was a new topic unrelated to sorting lists I had done before","Good challenge for sure.","PSI",0,1,1,1,1,0
369,6.5,"Female","More than 25 years old","Bachelor","Environmental Science","University","Walks, at least twice a week","2+ times a week","Other Engineering Field",487,4,3,5,"Before the activity, i had no idea what Dijkstra's algorithm was and how to use it, but for the post test it was a bit more clearer","Somewhat Confident","Kind of","Since the topic is new to me, i learnt some things, but there was no way to clarify my confusion","-","PSI",0,1,0,1,1,0
431,6.5,"Female","More than 25 years old","PhD","Life Sciences Engineering","Primary school","Bouldering/lead climbing, twice a week","2+ times a week","Other Engineering Field",574,5,2,3,"I still didn't get the question I got wrong with the node F","Not Very Confident","Not so sure","I would have preferred to get the correct answers on the pre-test questionnaire, and get other questions in the post-test part to efficiently learn from this lesson.","-","PSI",2,1,0,1,1,0
186,5.1,"Female","18-22 years old","Master","Economics","University","-","-","Non-Engineering Field",272,4.3,2,4,"Solving the activity made me understand the goal behind the lesson itself so I gained confidence in myself","Somewhat Confident","Definitely","I liked how the lesson was structured as the activity grabbed my attention and made me more focused in the lesson. The overall experience made me gain more knowledge.","-","PSI",1,0,0,0,0,1
344,6.2,"Female","18-22 years old","Bachelor","Environmental Science","University","kendo once, kickworkout once, zumba once, muscu twice","2+ times a week","Other Engineering Field",312,5,5,5,"-","Confident","Kind of","-","-","PSI",0,1,0,1,0,0
596,7.4,"Male","23-25 years old","Master","Physics","High school","yes, bike (14km, 5 times per week ), workout at home sometimes (1-2 per week)","2+ times a week","Other Engineering Field",542,4,4,3,"confused mind: i tried to go to the video again, but it would have take too much time to write the matrice and do the calculations, so i finally decided to not try to use the algorithm","Not Very Confident","Kind of","i know now that i could implement this algorithm on my computer to solve things, but i did not used the matrice for the problems and i probably never will","-","PSI",1,1,0,1,0,1
